league,name,position,team,description,line_score,stat_type,flash_sale_line_score,is_promo,start_time,updated_at
SOCCER,Anthony Gordon,M,Everton,Wolverhampton,1.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:13:22-05:00
SOCCER,Daniel Podence,F,Wolverhampton,Everton,1.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:25:20-05:00
SOCCER,Alex Iwobi,M,Everton,Wolverhampton,1,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:56:39-05:00
SOCCER,João Moutinho,M,Wolverhampton,Everton,0.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:09:56-05:00
SOCCER,Amadou Onana,M,Everton,Wolverhampton,1,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:25:20-05:00
SOCCER,Rúben Neves,M,Wolverhampton,Everton,2,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:55:06-05:00
SOCCER,James Tarkowski,D,Everton,Wolverhampton,0.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:01:54-05:00
SOCCER,Matheus Nunes,M,Wolverhampton,Everton,1,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:56-05:00
SOCCER,Jordan Pickford,GK,Everton,Wolverhampton,31.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:31:33-05:00
SOCCER,Jose Sa,GK,Wolverhampton,Everton,28.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:48:45-05:00
SOCCER,James Tarkowski,D,Everton,Wolverhampton,59.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:12:19-05:00
SOCCER,Rúben Neves,M,Wolverhampton,Everton,65.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:52:49-05:00
SOCCER,Alex Iwobi,M,Everton,Wolverhampton,36.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:36:17-05:00
SOCCER,Max Kilman,M,Wolverhampton,Everton,57.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:29:24-05:00
SOCCER,Neal Maupay,F,Everton,Wolverhampton,0.5,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:06:44-05:00
SOCCER,Demarai Gray,M,Everton,Wolverhampton,0.5,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:05:01-05:00
SOCCER,Diego Costa,F,Wolverhampton,Everton,1,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:07:48-05:00
SOCCER,Daniel Podence,F,Wolverhampton,Everton,0.5,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:06:44-05:00
SOCCER,Rúben Neves,M,Wolverhampton,Everton,0.5,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:16:53-05:00
SOCCER,Neal Maupay,F,Everton,Wolverhampton,0.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Anthony Gordon,M,Everton,Wolverhampton,2,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
